station_code;date;DDVEC;FHVEC
330;2020-10-10T00:00:00.000Z;291;8.5
330;2020-10-11T00:00:00.000Z;325;7.1
330;2020-10-12T00:00:00.000Z;269;2.9
330;2020-10-13T00:00:00.000Z;131;5.2
330;2020-10-14T00:00:00.000Z;50;8.0
330;2020-10-15T00:00:00.000Z;47;7.5
330;2020-10-16T00:00:00.000Z;54;3.2
330;2020-10-17T00:00:00.000Z;218;2.0
330;2020-10-18T00:00:00.000Z;314;3.6
330;2020-10-19T00:00:00.000Z;166;5.0
330;2020-10-20T00:00:00.000Z;171;7.9
330;2020-10-21T00:00:00.000Z;190;9.7
330;2020-10-22T00:00:00.000Z;213;7.9
330;2020-10-23T00:00:00.000Z;208;5.9
330;2020-10-24T00:00:00.000Z;191;9.9
330;2020-10-25T00:00:00.000Z;197;8.3
330;2020-10-26T00:00:00.000Z;201;9.1
330;2020-10-27T00:00:00.000Z;195;9.4
330;2020-10-28T00:00:00.000Z;213;8.8
330;2020-10-29T00:00:00.000Z;242;8.7
330;2020-10-30T00:00:00.000Z;221;10.1
330;2020-10-31T00:00:00.000Z;192;7.6
330;2020-11-01T00:00:00.000Z;196;9.8
330;2020-11-02T00:00:00.000Z;221;11.0
330;2020-11-03T00:00:00.000Z;238;8.4
330;2020-11-04T00:00:00.000Z;290;5.1
330;2020-11-05T00:00:00.000Z;233;2.4
330;2020-11-06T00:00:00.000Z;103;4.2
330;2020-11-07T00:00:00.000Z;127;3.4
330;2020-11-08T00:00:00.000Z;129;3.5
330;2020-11-09T00:00:00.000Z;137;3.3
330;2020-11-10T00:00:00.000Z;182;2.7
330;2020-11-11T00:00:00.000Z;164;6.2
330;2020-11-12T00:00:00.000Z;213;6.9
330;2020-11-13T00:00:00.000Z;191;6.2
330;2020-11-14T00:00:00.000Z;179;8.5
330;2020-11-15T00:00:00.000Z;188;11.1
330;2020-11-16T00:00:00.000Z;239;8.8
330;2020-11-17T00:00:00.000Z;214;9.2
330;2020-11-18T00:00:00.000Z;198;8.6
330;2020-11-19T00:00:00.000Z;296;9.5
330;2020-11-20T00:00:00.000Z;238;4.4
330;2020-11-21T00:00:00.000Z;217;8.4
330;2020-11-22T00:00:00.000Z;276;6.6
330;2020-11-23T00:00:00.000Z;242;4.0
330;2020-11-24T00:00:00.000Z;180;7.5
330;2020-11-25T00:00:00.000Z;183;7.1
330;2020-11-26T00:00:00.000Z;39;1.8
330;2020-11-27T00:00:00.000Z;80;3.1
330;2020-11-28T00:00:00.000Z;93;4.6
330;2020-11-29T00:00:00.000Z;106;3.2
330;2020-11-30T00:00:00.000Z;237;5.3
330;2020-12-01T00:00:00.000Z;358;12.6
330;2020-12-02T00:00:00.000Z;173;2.4
330;2020-12-03T00:00:00.000Z;171;8.3
330;2020-12-04T00:00:00.000Z;164;11.4
330;2020-12-05T00:00:00.000Z;150;5.4
330;2020-12-06T00:00:00.000Z;69;2.8
330;2020-12-07T00:00:00.000Z;202;4.2
